Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Acaiaca,MG,Município,Operação Contratual Interna,Assunção de Dívida,Outras,Pessoa Jurídica,Real,23507.57,17944.103234/2017-15,3100401.0,Em Análise,2017,12,21
Acaiaca,MG,Município,Operação Contratual Interna,Assunção de Dívida,Outras,Pessoa Jurídica,Real,41354.7,17944.103238/2017-95,3100401.0,Em Análise,2017,12,21
Agrolândia,SC,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3200000.0,17944.101394/2022-89,4200200.0,Em Análise,2024,9,12
Água Doce do Norte,ES,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Estado do Espírito Santo,Real,4185321.89,PVL02.000875/2024-77,3200169.0,Em Análise,2024,5,17
Águas Formosas,MG,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Minas Gerais,Real,190432.61,17944.001947/2011-41,3100906.0,Em Análise,2013,7,3
Aloândia,GO,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,PVL02.007781/2022-67,5200506.0,Em Análise,2022,10,3
Alto Paraíso,RO,Município,Operação Contratual Interna,Regularização de Dívida - RELUZ,Empresa Estatal,Centrais Elétricas de Rondônia S/A,Real,0.0,17944.108423/2018-57,1100403.0,Em Análise,2018,10,3
Antônio Dias,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6500000.0,PVL02.003141/2023-69,3103009.0,Em Análise,2023,9,27
Araçaí,MG,Município,Operação Contratual Interna,Desenvolvimento sustentável,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2200000.0,PVL02.001350/2024-59,3103207.0,Em Análise,2024,8,5
Araci,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,331234.59,17944.000835/2012-54,2902104.0,Em Análise,2013,8,20
Araci,BA,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia de Eletricidade do Estado da Bahia,Real,369990.99,17944.000836/2012-07,2902104.0,Em Análise,2013,8,20
Aragarças,GO,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2800000.0,PVL02.005221/2022-78,5201702.0,Em Análise,2022,10,19
